date,retweets,source,author,likes
10/13/2020 19:52,0,Twitter for Android,🇯🇵 九龍_🔰株式投資/⛩️神社参拝/空手/中国語/英語,1
10/2/2020 12:53,0,Twitter for Android,Martinho,1
10/2/2020 10:32,0,Twitter Web App,Parkers Mobile Clinic,0
10/1/2020 2:14,3,Twitter Web App,sunwattssolar,3
9/28/2020 9:31,0,Twitter for Android,Nonkululeko,1
9/26/2020 18:33,3,Twitter Web App,Rajeev Gupta,4
9/26/2020 16:55,0,Twitter for iPhone,Hani Roustom,3
9/25/2020 15:22,2,Twitter Web App,GO GREEN,3
9/25/2020 7:55,0,Twitter for Android,🇯🇵 九龍_🔰株式投資/⛩️神社参拝/空手/中国語/英語,4
9/24/2020 12:30,1,Hootsuite Inc.,Environmental Investigation Agency,4
9/23/2020 21:56,0,Twitter Web App,"Tom Gillispie, WRITER/EDITOR",0
9/23/2020 13:36,0,Twitter Web App,redShift Recruiting,0
9/23/2020 12:59,0,Twitter for iPhone,Women's Forum,2
9/21/2020 11:00,1,Hootsuite Inc.,Daily Climate,2
9/21/2020 5:52,0,Twitter for Android,🇯🇵 九龍_🔰株式投資/⛩️神社参拝/空手/中国語/英語,1
9/20/2020 3:07,4,Twitter Web App,Kman411,2
9/20/2020 3:05,0,Twitter Web App,Kman411,0
9/18/2020 17:13,1,Twitter Web App,GO GREEN,8
9/16/2020 15:34,0,Tumblr,Edwin Valdez,0
9/16/2020 13:58,1,Twitter for iPhone,Self Driving Containers 🇺🇸,1
2/6/2020 5:17,161,Granite Media,Far & Wide,883
9/15/2020 19:21,1,Twitter for iPhone,Dr. Emperor-Elect Kraken,3
9/15/2020 15:13,28,Twitter Web App,Citizens' Climate Lobby,53
9/14/2020 23:16,0,Twitter Web App,stokesmorgan,0
9/13/2020 15:53,0,Twitter for Android,shoot_it_straight 338,0
9/12/2020 3:06,0,Twitter for Android,🇯🇵 九龍_🔰株式投資/⛩️神社参拝/空手/中国語/英語,2
9/11/2020 17:05,1,Twitter for iPhone,Rogs,0
9/11/2020 15:05,0,Blog2Social APP,Newsdiary Online,0
9/11/2020 10:16,0,Twitter for Android,Marshall Petros,0
9/10/2020 10:01,0,Twitter for Android,Jamie Quantick,1
9/8/2020 14:43,0,Twitter for iPhone,Adam,0
9/7/2020 23:00,1,Hootsuite Inc.,Fossil Free USA,1
9/6/2020 20:08,0,Twitter Web App,"Tom Gillispie, EDITOR/WRITER",0
9/6/2020 16:52,8,Twitter Web App,SwissGlaciers,20
9/5/2020 7:24,0,Twitter Web App,Climate change 2020,0
9/5/2020 3:07,0,Twitter for Android,9Dragons,0
9/4/2020 10:42,0,Twitter Web App,The Harmony Project,1
9/3/2020 12:50,0,Twitter Web App,Jim Franklin,1
9/2/2020 15:05,0,LinkedIn,Dr/PhD Diego Fdez-Sevilla,0
9/2/2020 4:44,0,Twitter Web App,Stuart,0
9/1/2020 13:05,0,Twitter Web App,Erin Brennan,0
9/1/2020 4:30,0,Twitter for Advertisers (legacy),GED_Project,3
8/30/2020 16:02,0,Twitter for iPhone,somedaygirl,0
8/28/2020 15:01,20,Hootsuite Inc.,IUCN,48
8/28/2020 14:25,0,News Users,Upstract News,0
8/26/2020 7:30,1,Twitter Web App,Zubin Mistry,0
8/25/2020 13:47,0,Twitter for Android,Kemo Phatty,2
8/25/2020 0:44,0,Twitter for iPhone,Chris Fox,1
8/24/2020 21:48,0,Twitter Web App,Up Daily Infoo,0
8/24/2020 15:16,0,Buffer,FORESTS FOREVER,1
8/22/2020 17:54,0,Twitter for iPad,Safe Climate Campaign,0
8/20/2020 17:41,0,Twitter Web App,ENERCO Energy Solutions LLP 🇮🇳 🔆 (Estd. 2009),1
8/20/2020 9:14,0,Twitter for iPhone,Ajai Malhotra,0
8/20/2020 4:29,1,Twitter for Android,Mkyari,2
8/19/2020 15:08,0,Twitter for iPad,Tigran Haas,1
8/18/2020 14:57,1,Twitter Web App,Gary McFarlane,3
8/18/2020 3:39,0,IFTTT,POPapers,0
8/17/2020 10:24,0,WordPress.com,Alex Kime,0
8/17/2020 9:00,0,Hootsuite Inc.,Daily Climate,0
8/16/2020 14:30,0,Hootsuite Inc.,Coalition for Urban Transitions,2
8/15/2020 15:46,2,Twitter Web App,Shashank Johri,3
8/14/2020 3:39,0,IFTTT,POPapers,1
